,2008 ,2009 ,2010 ,2011 ,2012 ,2013 ,2014 ,2015 ,2016 ,2017 ,2018 ,2019 ,2020 
Media,,,,,,,,,,,,,
Total,16190 ,17042 ,16922 ,16280 ,16119 ,15635 ,15405 ,15408 ,15842 ,16390 ,16937 ,17287 ,18116 
Andalucía,13859 ,14393 ,14152 ,13310 ,13391 ,12705 ,12118 ,11862 ,12560 ,13709 ,13977 ,13755 ,14958 
Aragón,17107 ,18561 ,17773 ,17259 ,17419 ,17618 ,17662 ,18395 ,17116 ,17756 ,17672 ,18067 ,19150 
"Asturias, Principado de",17383 ,18561 ,18377 ,17080 ,16922 ,15994 ,16011 ,16227 ,17241 ,17547 ,17343 ,17868 ,18028 
"Balears, Illes",16496 ,17548 ,17076 ,16568 ,16317 ,15427 ,15729 ,15894 ,17894 ,18312 ,19554 ,18420 ,18787 
Canarias,13418 ,13612 ,13905 ,13127 ,12477 ,12688 ,12505 ,12932 ,12993 ,13161 ,13546 ,14247 ,14990 
Cantabria,16727 ,18108 ,16456 ,15447 ,15211 ,14426 ,14137 ,15159 ,15484 ,16199 ,16400 ,17742 ,18578 
Castilla y León,15533 ,16415 ,16100 ,15918 ,15909 ,15743 ,15080 ,15284 ,15645 ,16300 ,17264 ,17233 ,18284 
Castilla - La Mancha,13898 ,14712 ,15130 ,13720 ,13307 ,12673 ,12824 ,12725 ,13106 ,13604 ,14305 ,14505 ,15802 
Cataluña,18566 ,18978 ,19239 ,18170 ,18136 ,17883 ,18104 ,18236 ,18828 ,18957 ,19791 ,20049 ,20872 
Comunitat Valenciana,14796 ,15703 ,15780 ,15344 ,14864 ,13881 ,13446 ,13305 ,13589 ,14365 ,15038 ,15582 ,16518 
Extremadura,12484 ,13833 ,13509 ,13151 ,12281 ,12139 ,11345 ,12421 ,12775 ,12006 ,12376 ,12816 ,13297 
Galicia,14374 ,15113 ,15764 ,15450 ,15333 ,15037 ,15273 ,15133 ,15428 ,15880 ,16758 ,16621 ,16757 
"Madrid, Comunidad de",18941 ,20597 ,20128 ,19984 ,19902 ,19124 ,18789 ,18593 ,18709 ,19314 ,19648 ,21030 ,21429 
"Murcia, Región de",14147 ,14139 ,13574 ,13022 ,12891 ,12487 ,11715 ,11993 ,12635 ,13324 ,14041 ,13637 ,14921 
"Navarra, Comunidad Foral de",19907 ,21318 ,21393 ,21404 ,20918 ,20191 ,19550 ,19715 ,19697 ,20022 ,20094 ,20697 ,22391 
País Vasco,20887 ,22138 ,21484 ,20834 ,20474 ,20955 ,20957 ,20264 ,21058 ,21198 ,21760 ,22480 ,23174 
"Rioja, La",15917 ,16447 ,15769 ,15517 ,16102 ,15321 ,16090 ,16295 ,16933 ,17801 ,17490 ,18661 ,19698 
Ceuta,13458 ,14261 ,15332 ,16208 ,15511 ,14686 ,13758 ,13362 ,14858 ,15075 ,14991 ,16059 ,15058 
Melilla,17420 ,17120 ,18259 ,18278 ,19011 ,17898 ,18073 ,15937 ,17349 ,16453 ,19500 ,18003 ,18214 
