;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020
Total;19,8;20,4;20,7;20,6;20,8;20,4;22,2;22,1;22,3;21,6;21,5;20,7;21,0
Andalucía;27,3;28,8;28,3;30,7;28,3;29,1;33,3;35,7;35,4;31,0;32,0;31,3;28,5
Aragón;14,9;11,3;14,2;15,5;14,5;16,1;16,9;14,4;15,7;13,3;14,2;17,9;16,0
Asturias, Principado de;13,2;13,0;11,5;14,1;13,0;14,1;16,7;16,7;13,4;12,6;14,0;20,7;22,2
Balears, Illes;18,1;18,1;22,7;21,0;19,9;19,8;17,9;21,7;15,5;21,3;15,4;12,0;14,1
Canarias;30,7;30,4;29,7;30,1;33,6;28,4;27,6;28,5;35,0;30,5;32,1;28,5;29,9
Cantabria;14,3;13,9;20,1;16,7;17,7;17,8;20,6;14,9;15,3;17,6;19,9;17,3;18,0
Castilla y León;17,5;18,8;19,5;17,6;15,9;17,5;20,4;18,3;17,7;15,4;16,1;12,9;15,1
Castilla - La Mancha;26,4;24,8;28,3;29,4;30,0;31,3;28,4;28,5;31,7;28,1;29,9;26,2;25,1
Cataluña;12,3;15,2;14,7;14,2;15,8;13,9;15,8;13,9;13,2;15,0;13,6;13,9;16,7
Comunitat Valenciana;23,6;20,9;22,7;22,0;25,0;23,6;26,2;25,3;24,4;25,6;26,0;23,7;24,6
Extremadura;35,3;30,9;35,7;31,7;29,4;30,9;33,1;29,0;30,4;38,8;37,6;31,5;31,4
Galicia;20,9;20,6;18,1;16,1;18,3;17,2;15,4;19,4;19,0;18,7;18,8;20,0;22,1
Madrid, Comunidad de;14,9;15,9;14,4;14,0;14,2;13,4;14,7;15,1;18,2;16,9;16,1;15,0;15,4
Murcia, Región de;24,5;29,1;29,8;25,8;25,2;26,8;37,2;31,8;28,9;30,1;28,6;27,7;25,0
Navarra, Comunidad Foral de;5,9;7,8;10,7;8,1;7,0;9,9;11,9;9,6;9,0;8,3;8,9;7,7;9,9
País Vasco;9,1;10,0;11,7;13,8;13,3;10,5;10,2;10,9;9,0;9,7;8,6;10,0;10,0
Rioja, La;16,2;17,2;21,2;20,6;16,8;19,3;16,2;17,1;11,9;9,7;16,6;12,3;15,0
Ceuta;40,1;36,4;31,3;26,3;32,2;40,8;44,3;31,0;36,0;32,5;38,3;40,6;35,3
Melilla;17,7;30,0;25,8;26,5;8,6;21,7;19,2;25,8;21,8;26,2;21,4;35,7;36,3
