Comunidades y Ciudades Autónomas;periodo;Total
Andalucía;2020;17,5
Andalucía;2019;13,6
Andalucía;2018;14,9
Andalucía;2017;9,7
Andalucía;2016;10,6
Andalucía;2015;7,3
Andalucía;2014;13,7
Andalucía;2013;12,6
Andalucía;2012;9,1
Andalucía;2011;12,3
Andalucía;2010;13
Andalucía;2009;18
Andalucía;2008;13,7
Andalucía;2007;17,7
Andalucía;2006;20,9
Andalucía;2005;16,9
Andalucía;2004;19,2
Aragón;2020;10,9
Aragón;2019;6,8
Aragón;2018;9,9
Aragón;2017;6,1
Aragón;2016;6,2
Aragón;2015;6,1
Aragón;2014;5,3
Aragón;2013;13,9
Aragón;2012;12
Aragón;2011;7,1
Aragón;2010;6,3
Aragón;2009;8,9
Aragón;2008;10,2
Aragón;2007;20,7
Aragón;2006;16,4
Aragón;2005;17
Aragón;2004;16,6
Asturias, Principado de;2020;6,8
Asturias, Principado de;2019;7,4
Asturias, Principado de;2018;5,1
Asturias, Principado de;2017;6,4
Asturias, Principado de;2016;9,4
Asturias, Principado de;2015;3,6
Asturias, Principado de;2014;3,6
Asturias, Principado de;2013;5
Asturias, Principado de;2012;2,7
Asturias, Principado de;2011;5
Asturias, Principado de;2010;6,2
Asturias, Principado de;2009;5,8
Asturias, Principado de;2008;6
Asturias, Principado de;2007;7,7
Asturias, Principado de;2006;11,1
Asturias, Principado de;2005;9,2
Asturias, Principado de;2004;8,3
Balears, Illes;2020;8,3
Balears, Illes;2019;11,3
Balears, Illes;2018;9,4
Balears, Illes;2017;9,1
Balears, Illes;2016;15,6
Balears, Illes;2015;10,5
Balears, Illes;2014;9,6
Balears, Illes;2013;11,7
Balears, Illes;2012;8,3
Balears, Illes;2011;11,7
Balears, Illes;2010;13,2
Balears, Illes;2009;13,3
Balears, Illes;2008;20,1
Balears, Illes;2007;20,3
Balears, Illes;2006;21,1
Balears, Illes;2005;21
Balears, Illes;2004;17,2
Canarias;2020;20,2
Canarias;2019;8,4
Canarias;2018;9,7
Canarias;2017;14,1
Canarias;2016;14,2
Canarias;2015;10,7
Canarias;2014;11,6
Canarias;2013;15,1
Canarias;2012;15,3
Canarias;2011;12,4
Canarias;2010;7,6
Canarias;2009;17,9
Canarias;2008;11
Canarias;2007;12,6
Canarias;2006;17,9
Canarias;2005;17,6
Canarias;2004;26,6
Cantabria;2020;4
Cantabria;2019;3,6
Cantabria;2018;4,3
Cantabria;2017;1,5
Cantabria;2016;10
Cantabria;2015;7,6
Cantabria;2014;4,7
Cantabria;2013;6,5
Cantabria;2012;7,5
Cantabria;2011;7,8
Cantabria;2010;10,1
Cantabria;2009;7,8
Cantabria;2008;8
Cantabria;2007;5,6
Cantabria;2006;10
Cantabria;2005;8
Cantabria;2004;10,2
Castilla y León;2020;7,3
Castilla y León;2019;7,4
Castilla y León;2018;6,2
Castilla y León;2017;5,5
Castilla y León;2016;6,6
Castilla y León;2015;7,2
Castilla y León;2014;6,6
Castilla y León;2013;5,6
Castilla y León;2012;6,1
Castilla y León;2011;8,8
Castilla y León;2010;8,8
Castilla y León;2009;7,9
Castilla y León;2008;10,5
Castilla y León;2007;10
Castilla y León;2006;9,5
Castilla y León;2005;11,5
Castilla y León;2004;14,1
Castilla - La Mancha;2020;11,3
Castilla - La Mancha;2019;10,6
Castilla - La Mancha;2018;6,8
Castilla - La Mancha;2017;3,9
Castilla - La Mancha;2016;9,9
Castilla - La Mancha;2015;6,3
Castilla - La Mancha;2014;9,2
Castilla - La Mancha;2013;5,8
Castilla - La Mancha;2012;4,4
Castilla - La Mancha;2011;7,9
Castilla - La Mancha;2010;3,6
Castilla - La Mancha;2009;12,3
Castilla - La Mancha;2008;10,6
Castilla - La Mancha;2007;14,2
Castilla - La Mancha;2006;11,2
Castilla - La Mancha;2005;9,3
Castilla - La Mancha;2004;6,8
Cataluña;2020;19
Cataluña;2019;10,9
Cataluña;2018;11,1
Cataluña;2017;6,5
Cataluña;2016;9
Cataluña;2015;13,7
Cataluña;2014;13,5
Cataluña;2013;19,5
Cataluña;2012;16,4
Cataluña;2011;10
Cataluña;2010;20,5
Cataluña;2009;21
Cataluña;2008;16,3
Cataluña;2007;19,5
Cataluña;2006;18,5
Cataluña;2005;21,8
Cataluña;2004;18,3
Comunitat Valenciana;2020;7,7
Comunitat Valenciana;2019;7,3
Comunitat Valenciana;2018;6,8
Comunitat Valenciana;2017;9
Comunitat Valenciana;2016;9,9
Comunitat Valenciana;2015;8,4
Comunitat Valenciana;2014;11,6
Comunitat Valenciana;2013;10,4
Comunitat Valenciana;2012;8
Comunitat Valenciana;2011;9,6
Comunitat Valenciana;2010;13,9
Comunitat Valenciana;2009;19,4
Comunitat Valenciana;2008;23
Comunitat Valenciana;2007;22,5
Comunitat Valenciana;2006;23,6
Comunitat Valenciana;2005;23
Comunitat Valenciana;2004;24,8
Extremadura;2020;7,9
Extremadura;2019;4,4
Extremadura;2018;2,5
Extremadura;2017;3,6
Extremadura;2016;7,3
Extremadura;2015;8,9
Extremadura;2014;7,7
Extremadura;2013;13,7
Extremadura;2012;4,5
Extremadura;2011;9,2
Extremadura;2010;9,6
Extremadura;2009;14,5
Extremadura;2008;8,2
Extremadura;2007;11,8
Extremadura;2006;7,4
Extremadura;2005;13
Extremadura;2004;12,2
Galicia;2020;7,2
Galicia;2019;8,7
Galicia;2018;7,6
Galicia;2017;7,1
Galicia;2016;7,7
Galicia;2015;7,4
Galicia;2014;8,2
Galicia;2013;10,8
Galicia;2012;4,2
Galicia;2011;7,3
Galicia;2010;7,6
Galicia;2009;9,7
Galicia;2008;8,1
Galicia;2007;10,3
Galicia;2006;11,7
Galicia;2005;12,5
Galicia;2004;12,5
Madrid, Comunidad de;2020;16,8
Madrid, Comunidad de;2019;18
Madrid, Comunidad de;2018;17,6
Madrid, Comunidad de;2017;12,6
Madrid, Comunidad de;2016;14,5
Madrid, Comunidad de;2015;17,2
Madrid, Comunidad de;2014;18,6
Madrid, Comunidad de;2013;24,9
Madrid, Comunidad de;2012;12,8
Madrid, Comunidad de;2011;16,2
Madrid, Comunidad de;2010;17,2
Madrid, Comunidad de;2009;22,9
Madrid, Comunidad de;2008;21,7
Madrid, Comunidad de;2007;25,9
Madrid, Comunidad de;2006;31,6
Madrid, Comunidad de;2005;32,3
Madrid, Comunidad de;2004;32
Murcia, Región de;2020;20,7
Murcia, Región de;2019;22,9
Murcia, Región de;2018;10,7
Murcia, Región de;2017;18,3
Murcia, Región de;2016;15,9
Murcia, Región de;2015;11,2
Murcia, Región de;2014;11
Murcia, Región de;2013;12,4
Murcia, Región de;2012;11,4
Murcia, Región de;2011;12
Murcia, Región de;2010;14,6
Murcia, Región de;2009;16,2
Murcia, Región de;2008;10,2
Murcia, Región de;2007;23,3
Murcia, Región de;2006;27,7
Murcia, Región de;2005;19,8
Murcia, Región de;2004;20,1
Navarra, Comunidad Foral de;2020;7,1
Navarra, Comunidad Foral de;2019;11,5
Navarra, Comunidad Foral de;2018;7,7
Navarra, Comunidad Foral de;2017;2,5
Navarra, Comunidad Foral de;2016;3,5
Navarra, Comunidad Foral de;2015;7
Navarra, Comunidad Foral de;2014;8,2
Navarra, Comunidad Foral de;2013;4,8
Navarra, Comunidad Foral de;2012;7,6
Navarra, Comunidad Foral de;2011;8,4
Navarra, Comunidad Foral de;2010;7,8
Navarra, Comunidad Foral de;2009;5,7
Navarra, Comunidad Foral de;2008;6,4
Navarra, Comunidad Foral de;2007;8,3
Navarra, Comunidad Foral de;2006;11,1
Navarra, Comunidad Foral de;2005;13,5
Navarra, Comunidad Foral de;2004;11
País Vasco;2020;13,9
País Vasco;2019;12,7
País Vasco;2018;9,5
País Vasco;2017;6,3
País Vasco;2016;4,8
País Vasco;2015;4,8
País Vasco;2014;7,3
País Vasco;2013;14,1
País Vasco;2012;9,6
País Vasco;2011;10,2
País Vasco;2010;10,7
País Vasco;2009;7,4
País Vasco;2008;9,6
País Vasco;2007;7,4
País Vasco;2006;12,7
País Vasco;2005;7,7
País Vasco;2004;4,4
Rioja, La;2020;5,1
Rioja, La;2019;6,5
Rioja, La;2018;6,8
Rioja, La;2017;6,3
Rioja, La;2016;9,8
Rioja, La;2015;5,5
Rioja, La;2014;9,1
Rioja, La;2013;7,9
Rioja, La;2012;8,7
Rioja, La;2011;4,7
Rioja, La;2010;5,4
Rioja, La;2009;11
Rioja, La;2008;6,4
Rioja, La;2007;10,1
Rioja, La;2006;9,4
Rioja, La;2005;8
Rioja, La;2004;7,9
Ceuta;2020;24
Ceuta;2019;5,4
Ceuta;2018;6
Ceuta;2017;17,3
Ceuta;2016;19,2
Ceuta;2015;28,6
Ceuta;2014;35,9
Ceuta;2013;36,6
Ceuta;2012;22,8
Ceuta;2011;11,6
Ceuta;2010;16
Ceuta;2009;19,6
Ceuta;2008;8,2
Ceuta;2007;20,1
Ceuta;2006;30,5
Ceuta;2005;17,6
Ceuta;2004;36,8
Melilla;2020;35,5
Melilla;2019;11,1
Melilla;2018;21,1
Melilla;2017;13,2
Melilla;2016;33
Melilla;2015;21,8
Melilla;2014;31,1
Melilla;2013;13,5
Melilla;2012;10,1
Melilla;2011;14,5
Melilla;2010;23,1
Melilla;2009;28
Melilla;2008;27
Melilla;2007;26,3
Melilla;2006;35,3
Melilla;2005;55,3
Melilla;2004;48,2
