CCAA;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020
Total;18,9;18,8;19,3;17,5;14,7;16,4;13,1;10,8;10,2;14,2;11,9;10;10,3;8,7;10,9;11,6;14,1
Andalucia;19,2;16,9;20,9;17,7;13,7;18;13;12,3;9,1;12,6;13,7;7,3;10,6;9,7;14,9;13,6;17,5
Aragon;16,6;17;16,4;20,7;10,2;8,9;6,3;7,1;12;13,9;5,3;6,1;6,2;6,1;9,9;6,8;10,9
Asturias, Principado de;8,3;9,2;11,1;7,7;6;5,8;6,2;5;2,7;5;3,6;3,6;9,4;6,4;5,1;7,4;6,8
Balears, Illes;17,2;21;21,1;20,3;20,1;13,3;13,2;11,7;8,3;11,7;9,6;10,5;15,6;9,1;9,4;11,3;8,3
Canarias;26,6;17,6;17,9;12,6;11;17,9;7,6;12,4;15,3;15,1;11,6;10,7;14,2;14,1;9,7;8,4;20,2
Cantabria;10,2;8;10;5,6;8;7,8;10,1;7,8;7,5;6,5;4,7;7,6;10;1,5;4,3;3,6;4
Castilla y Leon;14,1;11,5;9,5;10;10,5;7,9;8,8;8,8;6,1;5,6;6,6;7,2;6,6;5,5;6,2;7,4;7,3
Castilla - La Mancha;6,8;9,3;11,2;14,2;10,6;12,3;3,6;7,9;4,4;5,8;9,2;6,3;9,9;3,9;6,8;10,6;11,3
Cataluna;18,3;21,8;18,5;19,5;16,3;21;20,5;10;16,4;19,5;13,5;13,7;9;6,5;11,1;10,9;19
Comunitat Valenciana;24,8;23;23,6;22,5;23;19,4;13,9;9,6;8;10,4;11,6;8,4;9,9;9;6,8;7,3;7,7
Extremadura;12,2;13;7,4;11,8;8,2;14,5;9,6;9,2;4,5;13,7;7,7;8,9;7,3;3,6;2,5;4,4;7,9
Galicia;12,5;12,5;11,7;10,3;8,1;9,7;7,6;7,3;4,2;10,8;8,2;7,4;7,7;7,1;7,6;8,7;7,2
Madrid, Comunidad de;32;32,3;31,6;25,9;21,7;22,9;17,2;16,2;12,8;24,9;18,6;17,2;14,5;12,6;17,6;18;16,8
Murcia, Region de;20,1;19,8;27,7;23,3;10,2;16,2;14,6;12;11,4;12,4;11;11,2;15,9;18,3;10,7;22,9;20,7
Navarra, Comunidad Foral de;11;13,5;11,1;8,3;6,4;5,7;7,8;8,4;7,6;4,8;8,2;7;3,5;2,5;7,7;11,5;7,1
Pais Vasco;4,4;7,7;12,7;7,4;9,6;7,4;10,7;10,2;9,6;14,1;7,3;4,8;4,8;6,3;9,5;12,7;13,9
Rioja, La;7,9;8;9,4;10,1;6,4;11;5,4;4,7;8,7;7,9;9,1;5,5;9,8;6,3;6,8;6,5;5,1
Ceuta;36,8;17,6;30,5;20,1;8,2;19,6;16;11,6;22,8;36,6;35,9;28,6;19,2;17,3;6;5,4;24
Melilla;48,2;55,3;35,3;26,3;27;28;23,1;14,5;10,1;13,5;31,1;21,8;33;13,2;21,1;11,1;35,5
