CCAA;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015*;2016;2017;2018;2019;2020
Total;3;1,3;0,6;0,1;0,4;0,5;0,3;0,6;0,7;0,8;0,6;0,6;0,5;0,1;0,2;0,2;0,4
Andalucia;3,4;0,8;0,7;0,1;0,4;0,2;0,5;0,8;1,2;0,6;1,5;0,2;0,1;0;0,1;0,1;0,5
Aragon;6,2;2;0,4;0,1;0;0,1;0,1;0;0,1;0,2;0,8;0,2;0;0;0;0;0
Asturias, Principado de;2,2;0,9;1;0;0,4;0,4;0,5;0,2;0,2;0,4;0,3;2,9;1,9;0;0;0,4;0,2
Balears, Illes;0,8;0,8;1,4;0;0,2;0,6;0;0,1;0,2;1,7;1,7;1,1;1,3;0;0;0,2;0,6
Canarias;5,5;6,2;1,8;0;1,5;2,8;0,2;1,1;3,6;2,1;0,9;0,4;1,7;1,7;0,3;0;1,4
Cantabria;1,2;0;0;0,3;0;0,1;0,3;1,4;0,2;0,4;0,1;1,6;3,5;0;0,3;0;0
Castilla y Leon;2,2;1,6;0,5;0;0,2;0,7;0,5;0,1;0,3;0,4;0,2;0,7;0;0;0,2;0,2;0,3
Castilla - La Mancha;1,3;0,4;0,2;0,2;0,1;0,1;0,3;0,6;0,2;0,7;0,2;0,7;1,3;0,2;0;0,4;0,5
Cataluna;3,9;1,3;0,5;0;0,2;0,6;0,1;0,4;0,3;0,2;0,1;0,3;0,1;0,1;0;0,1;0,3
Comunitat Valenciana;1,9;1,2;0,7;0,1;0,4;0,6;0,5;0,4;0,8;1,7;0,6;0,7;0,2;0,1;0,1;0,1;0,8
Extremadura;2,6;0,6;0,6;0,1;0,4;0,4;0,4;0,1;0,6;1,2;0,1;0,7;1,5;0,1;0;0;0,1
Galicia;3,6;2,1;0,7;0;0,5;0,3;0,7;0,5;0,6;0,2;0,7;2,2;2,9;0,1;0;0;0
Madrid, Comunidad de;3,3;0,6;0,3;0,5;0,7;0,3;0,3;1,2;0,5;1,1;0,3;0,2;0;0,1;0,3;0,3;0,4
Murcia, Region de;1,5;0,9;0,2;0,1;0,3;0,1;0,2;0,1;0,4;0,9;0,7;0,5;0,1;0,3;0,2;0,2;0,2
Navarra, Comunidad Foral de;1,2;1,8;3;0;0,5;0,1;0,6;0,2;0;0,4;0,3;0,2;0,4;0,2;0,2;0,1;0,9
Pais Vasco;1;0,6;0,5;0,1;0,2;0,1;0,1;0,2;0,7;0,2;0,4;0;0;0;1,1;1,1;0,1
Rioja, La;2;1,4;0,1;0;0,7;0,6;0;0,4;0,6;0;1,2;0,3;0;0;0;0;0,1
Ceuta;3,8;0;0,6;2,4;0;0;0;0;0,5;0,1;0;0;0;0;0;0,5;0
Melilla;0;2;2,9;0;0,8;0;0,9;0;0;1,2;0;1;0;0,9;1;0;0
