;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020
Ceuta;46,8;29,3;48,6;44;35,7;21,2;24,3;15,1;35,1;40,8;44,3;27,4;39,2;30,1;11,5;7,2;34,1
Murcia;23,5;26,5;31,5;30,6;14,4;22,7;18,4;11,3;22,4;24,5;21,2;20,5;22,9;26,8;15,5;12,4;33,6
Canarias;28,6;28,3;26,5;25,5;24,1;21,9;12,6;15,1;18,3;24,7;18,4;23,2;28,6;25,3;13,5;14,2;30,4
Melilla;52,8;52,8;55,1;46,2;25,7;32,4;42,5;7,2;12,5;22,6;25,3;26,8;23,5;26;34,2;23,1;30
Madrid;30,1;33,8;31,6;27;26,9;28,1;19,2;17,7;14,2;23,9;22,4;18,9;20,7;13,2;21,7;17,5;26,4
CValenciana;30,1;39,1;32,1;35;33;26,8;22,3;18,1;21,5;18,1;19,3;22,6;21,1;21,3;21,7;14,1;26
Andalucia;26;27,9;27,8;29,5;19,8;23,1;17,5;18,1;18,6;16,3;14,8;11,7;13,9;14,9;18;15,5;24,6
Total;25,1;28,6;26,6;25,6;22,1;22,4;18,4;15,6;15;18,3;15,9;15,7;16,2;15,2;17;14,1;21,9
Balears;26,6;33,7;31,6;23;26,9;24,7;19,3;21,5;13,1;29,7;21,5;24,2;26,9;31,4;26,2;23,8;20,8
Navarra;20,5;21,8;26,7;15,6;12,5;12,9;16,2;16,5;13,6;20,5;16,5;15,6;15,4;12,8;28;18,4;20,7
Rioja;17,6;21,2;21,7;21,1;13,3;23,2;12,6;15,9;15,7;11,8;13,3;13;18,7;8,4;20,8;20,1;20,7
Pais Vasco;21,8;32,3;28,4;25;24,4;16;20,1;16,2;15,8;16,6;10,5;8,8;8,8;12;22,9;20,7;20,6
Cataluña;27;29,6;27,3;26,1;22,8;25,7;23;13,1;14,6;20;15;16,5;14,6;13,5;15,2;14,9;19,5
Asturias;15,5;19,3;22,8;21,7;17,3;17,1;11,7;13,1;8,5;14,6;6,8;5,5;9,9;9,8;10,1;13,7;18,5
Aragon;22,1;27,3;18,3;22,8;14,5;11,8;10,2;7,4;5,5;17,3;13,8;9;9,6;9,5;13;9,9;16,9
Cantabria;21,6;20,8;20,1;13,3;12,4;13,2;17,6;15;11,3;15,2;7,8;11,4;12,8;1,5;6,9;6,8;13,8
Galicia;17,5;19,5;18,3;16,4;12,7;17,8;15,2;14,8;10;13,3;14,5;15,3;13,3;16,1;9,8;6,4;13,5
CastillaLeon;20,9;21,6;20;15;18;14,1;14;13,8;10,6;8,2;9,1;9,4;7,7;9,2;10,6;8,9;12,9
CastillaLaMancha;15,1;16,8;18,9;18,8;18,5;18,2;13,3;11,3;7,8;10,9;7,7;10,1;11,6;7,9;14,3;4,7;12,3
Extremadura;22,4;23,9;14,3;19,8;18;17,3;24,3;16,7;6,1;17,6;15,6;19,2;15,9;10,8;4,4;6,5;11,5
