;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020
;;;;;;;;;;;;;;;
Total;34;31,6;29,1;25,2;24,7;25,1;23,4;23,1;24;25,1;26,1;26,7;26,8;26,3;24,1
Andalucia;46;44,4;40,4;36,2;34,4;34,1;32,3;31,4;34,3;35,2;35,6;35,8;35,8;35,3;32,2
Aragon;29,3;28;26;22,2;23,4;23,9;21,6;21,6;23,9;22,8;23,5;25,2;25,6;22,4;21,6
Asturias, Principado de;30,9;29,7;27,5;23,7;23,5;24;22,9;23;25,5;25,3;25,9;25,4;24,9;25,5;23,8
Balears, Illes;33,5;29,1;28,7;25,1;26;26,9;24,1;25,1;25,9;26,5;28,1;29,3;28,4;27;22,6
Canarias;38,9;37,7;33,6;30,3;29,3;30,5;27,7;28,9;30,8;30,6;32,3;31,7;31,6;31;26,8
Cantabria;30,7;28,8;27;23,2;21,8;20,7;19,6;20,4;21,9;23,2;23,1;24,5;25,3;24,7;26,8
Castilla y Leon;29,7;27,4;25,9;21,9;21,8;21,6;20,3;20,8;21,7;23,4;25,2;25,3;25,2;25,1;22,9
Castilla - La Mancha;35,6;34,4;31,8;27,3;26,9;26,5;23,1;23,2;24,4;27,4;28,4;28;28,5;27,7;24,9
Cataluna;26,4;23,7;21,3;18,2;18,2;20,2;18,4;18,6;18,3;19,6;21,2;21,6;21,9;21,6;19,6
Comunitat Valenciana;36,4;34;31,7;27,6;27,8;26,8;26,5;26,8;26,8;27,5;27,4;29,6;28,8;27,9;25,2
Extremadura;42,5;40,9;38,1;35,5;34,1;36,7;34,6;32,8;33,4;34,2;33,1;35,5;35,5;34,1;34,9
Galicia;34,7;31,1;30,4;26,5;25;24,5;22,9;22,8;23,5;25,4;26,2;27;26,6;26,5;24
Madrid, Comunidad de;29;25;23,1;19,3;18,8;19,2;17,4;16,4;16;17;18,3;18,9;19,8;19,5;18,8
Murcia, Region de;42,6;40,1;36,5;32,2;33,1;33;32;31,3;33;33,9;34,1;34,9;33,1;32,9;29,4
Navarra, Comunidad Foral de;30,4;28;26,3;23,3;24,6;25,8;21,8;20,2;22,5;26;25,1;23;24;25,7;25,4
Pais Vasco;29,2;28,7;27,9;22,7;22,4;23,2;21,6;20,8;21,6;23,4;24,1;24,5;25,8;24,3;22,1
Rioja, La;28,6;25,2;22,3;20,1;19,5;19,9;20,8;20,5;21,6;22;22,1;24,6;25;24,9;22,7
Ceuta;31,9;32,8;35,2;34,3;28;31,6;19,7;14,3;13,5;16,2;19,1;19,4;20,8;22,5;20
Melilla;37,5;33,5;33,4;33,2;28,6;24,4;32,3;26,7;20,2;24,1;28,4;27,3;24,6;31,6;31,8
